MetricType,Month,CreationDate,ID,Month,Period,MetricFrom,MetricTo,BaseFile,CompareFile
Monthly,06/07/2020,2020_07_13,1,Jul-20,start,Wk27,Wk28,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_07_13 Wk28 Weekly Supply Plan v3.csv
Monthly,06/07/2020,2020_07_20,2,Jul-20,within,Wk27,Wk29,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_07_20 Wk29 Weekly Supply Plan v2.csv
Monthly,06/07/2020,2020_07_27,3,Jul-20,within,Wk27,Wk30,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_07_27 Wk30 Weekly Supply Plan v2.csv
Monthly,06/07/2020,2020_08_03,4,Jul-20,end,Wk27,Wk31,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_08_03 Wk31 Weekly Supply Plan v2.csv
Monthly,03/08/2020,2020_08_10,5,Aug-20,start,Wk31,Wk32,../../wsps_final\2020_08_03 Wk31 Weekly Supply Plan v2.csv,../../wsps_final\2020_08_10 Wk32 Weekly Supply Plan v2 rev1.csv
Monthly,03/08/2020,2020_08_17,6,Aug-20,within,Wk31,Wk33,../../wsps_final\2020_08_03 Wk31 Weekly Supply Plan v2.csv,../../wsps_final\2020_08_17 Wk33 Weekly Supply Plan v2rev4.csv
Monthly,03/08/2020,2020_08_24,7,Aug-20,within,Wk31,Wk34,../../wsps_final\2020_08_03 Wk31 Weekly Supply Plan v2.csv,../../wsps_final\2020_08_24 Wk34 Weekly Supply Plan v2.csv
Monthly,03/08/2020,2020_09_01,8,Aug-20,end,Wk31,Wk35,../../wsps_final\2020_08_03 Wk31 Weekly Supply Plan v2.csv,../../wsps_final\2020_09_01 Wk35 Weekly Supply Plan vFinal.csv
Monthly,01/09/2020,2020_09_07,9,Sep-20,start,Wk35,Wk36,../../wsps_final\2020_09_01 Wk35 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_09_07 Wk36 Weekly Supply Plan v2.csv
Monthly,01/09/2020,2020_09_14,10,Sep-20,within,Wk35,Wk37,../../wsps_final\2020_09_01 Wk35 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_09_14 Wk37 Weekly Supply Plan vFinal.csv
Monthly,01/09/2020,2020_09_21,11,Sep-20,within,Wk35,Wk38,../../wsps_final\2020_09_01 Wk35 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_09_21 Wk38 Weekly Supply Plan v2c.csv
Monthly,01/09/2020,2020_10_01,12,Sep-20,within,Wk35,Wk39,../../wsps_final\2020_09_01 Wk35 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_01 Wk39 Weekly Supply Plan v1.csv
Monthly,01/09/2020,2020_10_05,13,Sep-20,end,Wk35,Wk40,../../wsps_final\2020_09_01 Wk35 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv
Monthly,12/10/2020,2020_10_19,14,Oct-20,start,Wk41,Wk42,../../wsps_final\2020_10_12 Wk41 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_19 Wk42 Weekly Supply Plan v2a.csv
Monthly,12/10/2020,2020_10_26,15,Oct-20,within,Wk41,Wk43,../../wsps_final\2020_10_12 Wk41 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_26 Wk43 Weekly Supply Plan v3.csv
Monthly,12/10/2020,2020_11_02,16,Oct-20,end,Wk41,Wk44,../../wsps_final\2020_10_12 Wk41 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_02 Wk44 Weekly Supply Plan vFinal.csv
Monthly,02/11/2020,2020_11_09,17,Nov-20,start,Wk44,Wk45,../../wsps_final\2020_11_02 Wk44 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_09 Wk45 Weekly Supply Plan vFinal.csv
Monthly,02/11/2020,2020_11_16,18,Nov-20,within,Wk44,Wk46,../../wsps_final\2020_11_02 Wk44 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_16 Wk46 Weekly Supply Plan vFinal.csv
Monthly,02/11/2020,2020_11_23,19,Nov-20,within,Wk44,Wk47,../../wsps_final\2020_11_02 Wk44 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_23 Wk47 Weekly Supply Plan vFinal.csv
Monthly,02/11/2020,2020_12_01,20,Nov-20,end,Wk44,Wk48,../../wsps_final\2020_11_02 Wk44 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv
Monthly,01/12/2020,2020_12_07,21,Dec-20,start,Wk48,Wk49,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_07 Wk49 Weekly Supply Plan vFinal.csv
Monthly,01/12/2020,2020_12_14,22,Dec-20,within,Wk48,Wk50,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_14 Wk50 Weekly Supply Plan vFinal.csv
Monthly,01/12/2020,2020_12_21,23,Dec-20,within,Wk48,Wk51,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_21 Wk51 Weekly Supply Plan v2.csv
Monthly,01/12/2020,2020_12_28,24,Dec-20,within,Wk48,Wk52,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_28 Wk52 Weekly Supply Plan vFinal.csv
Monthly,01/12/2020,2021_01_04,25,Dec-20,end,Wk48,Wk01,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv
Monthly,04/01/2021,2021_01_11,26,Jan-21,start,Wk01,Wk02,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_11 Wk02 Weekly Supply Plan v3.csv
Monthly,04/01/2021,2021_01_18,27,Jan-21,within,Wk01,Wk03,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_18 Wk03 Weekly Supply Plan vFinal.csv
Monthly,04/01/2021,2021_01_25,28,Jan-21,within,Wk01,Wk04,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_25 Wk04 Weekly Supply Plan vFinal_che_cost_corr.csv
Monthly,04/01/2021,2021_02_01,29,Jan-21,end,Wk01,Wk05,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv
Monthly,01/02/2021,2021_02_08,30,Feb-21,start,Wk05,Wk06,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv,../../wsps_final\2021_02_08 Wk06 Weekly Supply Plan vFinal.csv
Monthly,01/02/2021,2021_02_15,31,Feb-21,within,Wk05,Wk07,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv,../../wsps_final\2021_02_15 Wk07 Weekly Supply Plan v3.csv
Monthly,01/02/2021,2021_02_22,32,Feb-21,within,Wk05,Wk08,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv,../../wsps_final\2021_02_22 Wk08 Weekly Supply Plan vFinal.csv
Monthly,01/02/2021,2021_03_01,33,Feb-21,end,Wk05,Wk09,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv
Monthly,01/03/2021,2021_03_08,34,Mar-21,start,Wk09,Wk10,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_08 Wk10 Weekly Supply Plan v2.csv
Monthly,01/03/2021,2021_03_15,35,Mar-21,within,Wk09,Wk11,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_15 Wk11 Weekly Supply Plan v2.csv
Monthly,01/03/2021,2021_03_22,36,Mar-21,within,Wk09,Wk12,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_22 Wk12 Weekly Supply Plan vFinal.csv
Monthly,01/03/2021,2021_03_29,37,Mar-21,within,Wk09,Wk13,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_29 Wk13 Weekly Supply Plan v2.csv
Monthly,01/03/2021,2021_04_05,38,Mar-21,end,Wk09,Wk14,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv
Monthly,05/04/2021,2021_04_12,39,Apr-21,start,Wk14,Wk15,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_12 Wk15 Weekly Supply Plan v2.csv
