MetricType,CreationDate,MetricFrom,MetricTo,BaseFile,CompareFile
Weekly,2021_04_19,Wk16,Wk17,../../wsps_final\2021_04_19 Wk16 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_26 Wk17 Weekly Supply Plan v2.csv
Monthly,2021_04_19,Wk14,Wk17,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_26 Wk17 Weekly Supply Plan v2.csv
