MetricType,CreationDate,MetricFrom,MetricTo,BaseFile,CompareFile
Quarterly,2020_09_21,Wk27,Wk38,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_09_21 Wk38 Weekly Supply Plan v2c.csv
Quarterly,2020_10_01,Wk27,Wk39,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_10_01 Wk39 Weekly Supply Plan v1.csv
Quarterly,2020_10_01,Wk27,Wk40,../../wsps_final\2020_07_06 Wk27 Weekly Supply Plan v2upd2.csv,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv
Quarterly,2020_10_12,Wk40,Wk41,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_12 Wk41 Weekly Supply Plan vFinal.csv
Quarterly,2020_10_19,Wk40,Wk42,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_19 Wk42 Weekly Supply Plan v2a.csv
Quarterly,2020_10_26,Wk40,Wk43,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_10_26 Wk43 Weekly Supply Plan v3.csv
Quarterly,2020_11_02,Wk40,Wk44,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_02 Wk44 Weekly Supply Plan vFinal.csv
Quarterly,2020_11_09,Wk40,Wk45,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_09 Wk45 Weekly Supply Plan vFinal.csv
Quarterly,2020_11_16,Wk40,Wk46,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_16 Wk46 Weekly Supply Plan vFinal.csv
Quarterly,2020_11_23,Wk40,Wk47,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_23 Wk47 Weekly Supply Plan vFinal.csv
Quarterly,2020_12_01,Wk40,Wk48,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv
Quarterly,2020_12_07,Wk40,Wk49,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_07 Wk49 Weekly Supply Plan vFinal.csv
Quarterly,2020_12_14,Wk40,Wk50,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_14 Wk50 Weekly Supply Plan vFinal.csv
Quarterly,2020_12_21,Wk40,Wk51,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_21 Wk51 Weekly Supply Plan v2.csv
Quarterly,2020_12_28,Wk40,Wk52,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_28 Wk52 Weekly Supply Plan vFinal.csv
Quarterly,2021_01_04,Wk40,Wk01,../../wsps_final\2020_10_05 Wk40 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv
Quarterly,2021_01_11,Wk01,Wk02,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_11 Wk02 Weekly Supply Plan v3.csv
Quarterly,2021_01_18,Wk01,Wk03,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_18 Wk03 Weekly Supply Plan vFinal.csv
Quarterly,2021_01_25,Wk01,Wk04,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_25 Wk04 Weekly Supply Plan vFinal_che_cost_corr.csv
Quarterly,2021_02_01,Wk01,Wk05,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv
Quarterly,2021_02_08,Wk01,Wk06,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_02_08 Wk06 Weekly Supply Plan vFinal.csv
Quarterly,2021_02_15,Wk01,Wk07,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_02_15 Wk07 Weekly Supply Plan v3.csv
Quarterly,2021_02_22,Wk01,Wk08,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_02_22 Wk08 Weekly Supply Plan vFinal.csv
Quarterly,2021_03_01,Wk01,Wk09,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv
Quarterly,2021_03_08,Wk01,Wk10,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_08 Wk10 Weekly Supply Plan v2.csv
Quarterly,2021_03_15,Wk01,Wk11,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_15 Wk11 Weekly Supply Plan v2.csv
Quarterly,2021_03_22,Wk01,Wk12,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_22 Wk12 Weekly Supply Plan vFinal.csv
Quarterly,2021_03_29,Wk01,Wk13,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_29 Wk13 Weekly Supply Plan vFinal.csv
Quarterly,2021_04_05,Wk01,Wk14,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv
Quarterly,2021_04_12,Wk14,Wk15,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_12 Wk15 Weekly Supply Plan vFinal.csv
Quarterly,2021_04_19,Wk14,Wk16,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_19 Wk16 Weekly Supply Plan vFinal.csv
Quarterly,2021_04_26,Wk14,Wk17,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_26 Wk17 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_03,Wk14,Wk18,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_03 Wk18 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_10,Wk14,Wk19,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_10 Wk19 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_17,Wk14,Wk20,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_17 Wk20 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_24,Wk14,Wk21,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_24 Wk21 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_31,Wk14,Wk22,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_31 Wk22 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_07,Wk14,Wk23,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_06_07 Wk23 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_14,Wk14,Wk24,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_06_14 Wk24 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_21,Wk14,Wk25,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_06_21 Wk25 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_28,Wk14,Wk26,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_06_28 Wk26 Weekly Supply Plan vFinal.csv
Quarterly,2021_07_05,Wk14,Wk27,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_07_05 Wk27 Weekly Supply Plan vFinal.csv
