MetricType,CreationDate,MetricFrom,MetricTo,BaseFile,CompareFile
Weekly,2020_11_16,Wk45,Wk46,../../wsps_final\2020_11_09 Wk45 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_16 Wk46 Weekly Supply Plan vFinal.csv
Weekly,2020_11_23,Wk46,Wk47,../../wsps_final\2020_11_16 Wk46 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_11_23 Wk47 Weekly Supply Plan vFinal.csv
Weekly,2020_12_01,Wk47,Wk48,../../wsps_final\2020_11_23 Wk47 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv
Weekly,2020_12_07,Wk48,Wk49,../../wsps_final\2020_12_01 Wk48 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_07 Wk49 Weekly Supply Plan vFinal.csv
Weekly,2020_12_14,Wk49,Wk50,../../wsps_final\2020_12_07 Wk49 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_14 Wk50 Weekly Supply Plan vFinal.csv
Weekly,2020_12_21,Wk50,Wk51,../../wsps_final\2020_12_14 Wk50 Weekly Supply Plan vFinal.csv,../../wsps_final\2020_12_21 Wk51 Weekly Supply Plan v2.csv
Weekly,2020_12_28,Wk51,Wk52,../../wsps_final\2020_12_21 Wk51 Weekly Supply Plan v2.csv,../../wsps_final\2020_12_28 Wk52 Weekly Supply Plan vFinal.csv
Weekly,2021_01_04,Wk52,Wk01,../../wsps_final\2020_12_28 Wk52 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv
Weekly,2021_01_11,Wk01,Wk02,../../wsps_final\2021_01_04 Wk01 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_11 Wk02 Weekly Supply Plan v3.csv
Weekly,2021_01_18,Wk02,Wk03,../../wsps_final\2021_01_11 Wk02 Weekly Supply Plan v3.csv,../../wsps_final\2021_01_18 Wk03 Weekly Supply Plan vFinal.csv
